name,date,likes,comment,sentiment,source
djezzy.dz,04/03/20 10:29:29,2309,استفيدوا عروض جازي عايله الجديده توالم كامل افراد العاءله  عائلة  راهي متوفره كامل وكالات جازي شريحه SIM مجانيه  خايف  مريقلة 🏻 Bénéficiez des nouveaux forfaits DJEZZY 3AYLA qui conviennent à tous les membres de la famille  عائلة  Lacquisition de la carte SIM est gratuite et disponible dans toutes les boutiques DJEZZY  خايف  مريقلة 🏻,0,insta
amira_la_bonoise,04/03/20 10:31:18,0,Conx ta3koum dayra ki lhaam w say,-1,insta
noureddiiiiiine,04/03/20 10:31:38,0,,0,insta
linaragguem,04/03/20 10:32:28,0,فهمتش sim وحده يخدمو العاءله كامله,0,insta
samo_oussama,04/03/20 10:36:29,0,السماح  غمزة   السماح,1,insta
fares_slifi,04/03/20 10:41:15,0,connection khraa welat,-1,insta
ikhenache_ziane,04/03/20 10:41:37,0,2500DA trimestre,0,insta
aissa_zaghlla_officiel,04/03/20 10:41:38,0,Barkawna bla 5orti cnx ta3kom dayra kile5ra,-1,insta
_23bouz,04/03/20 10:43:26,0,Le Prix combien,0,insta
rahma.nob,04/03/20 11:02:32,0,Pppf yaw diro 100 Go b 100da kan bghito je suis vraiment déçu cnx =  براز  t9ila grv soit sbah lile l3chia 3 t3 sbah dima makanch w ida kayna t9ila lcommentaire w bsif maktbto les offres li dirohom sah haylin bssah tl3bo mn w mn tmdolna des chiffres mktoubin heda makan mch cnx,-1,insta
houdheifa91,04/03/20 11:08:06,5,La connexion ta3kom est  براز,-1,insta
mohaaissani,04/03/20 11:08:22,2,متوفر العرض علي شريحه جيزي هايله بزاف ؟,0,insta
faidmoh,04/03/20 11:17:27,2,Conx ta3kom t3ayii,-1,insta
rafikmilano95,04/03/20 11:17:29,1,اواه خلونا جيري هايله بزاف,1,insta
ayoub_bbrh,04/03/20 11:24:17,1,ما يعجبش  ما يعجبش,-1,insta
amirouchi_mohamed,04/03/20 11:31:18,1,مفيهاش هدره,0,insta
nassim_sadji,04/03/20 11:32:14,3,Cnx dyalkom t3ayi,-1,insta
captain_cold_officiel,04/03/20 11:34:50,0,A3dlou le réseau mb3d yer7mha rabbi  غمزة,-1,insta
anoir.zaza,04/03/20 11:59:15,0,,0,insta
riadh_younes,04/03/20 12:03:08,0,hay lhadra,1,insta
asmabessam,04/03/20 12:09:10,0,Connexion nulle j’ai 100Go net mai taayi t9ila grc,-1,insta
asmabessam,04/03/20 12:09:12,0,Grv,0,insta
a.y.m.e.n_dz,04/03/20 12:22:03,0,عندي هايله ماكسي كونكسيون خرده  ما يعجبش  ما يعجبش,-1,insta
guzelchoco,04/03/20 12:27:35,1,,0,insta
hamelmohamed990,04/03/20 12:37:00,0,B 2500 da 3and ooredoo ta3tik 120 gb,-1,insta
montasser62,04/03/20 12:49:59,0,عاشق  نار  djezzy the best  نار  نار,1,insta
sy_samy,04/03/20 13:14:37,0,Fiha hadra,0,insta
abdenour_kerfouf,04/03/20 13:35:10,1,dans le 2 ème mois ça réduit pour combien de giga octets,0,insta
ky_l_em,04/03/20 14:06:26,0,Connexion  انخفاض ️ هبوط ️0️⃣,-1,insta
dounia.ka.98,04/03/20 14:32:45,0,جامي جربت جيزي مره واخر مره راح نجربها تعيي كونكسيو بزاف تقيلا vive ooredoo,-1,insta
mls_wahiba,04/03/20 14:32:51,0,ولله ياجزي اكي 1500رجعتهالي5جيقا ماقنعش  ماقنعش,-1,insta
nou_nou_meg,04/03/20 14:42:53,0,مريقلة  لكان ريبونداو قولي هه بيسك راهم ميحلبوش زعمه كخخ,0,insta
meiys._,04/03/20 14:43:48,0,Conx merdique,-1,insta
hassen__bgh,04/03/20 15:55:48,0,Wch fiha kml bla la connx 4G,0,insta
la_mo_ri,04/03/20 16:04:35,0,cnx dyalkom ki zbl 7acha l3ibad li chafo l cmntr,-1,insta
hamzarais10,04/03/20 16:56:23,0,Conx ki zabi jaya,-1,insta
aminesouiah,04/03/20 17:31:36,0,يوم بيس,0,insta
ziad_khamsa,04/03/20 17:42:23,0,يضحك بزاف,0,insta
nouna7598,04/03/20 17:45:48,0,عروض بايخه,-1,insta
alicia__queen5,04/03/20 18:02:53,0,Woow  حب ️ نار,1,insta
imed_kkj,04/03/20 18:25:06,0,يضحك بزاف  يضحك بزاف  150 gb 6 m tfad fi 10 jour zid cnx 4G (thble hayla ) نتمنى  يضحك بزاف,0,insta
as77905,04/03/20 18:39:22,0,Il faut changé la puce Jai une hayla maxi,0,insta
boussaidlahouari,04/03/20 22:16:29,0,فرحة  فرحة,1,insta
kiwamisaijo,04/03/20 23:08:40,0,The worst connection ever in Algeria,-1,insta
smr_rain_,04/03/20 23:40:15,0,حابه نرجع بيس hayla maxi كفاش ندير,0,insta
dz.to_day,05/03/20 6:56:04,0,عروض جيزي الاسوا,-1,insta
slaym_o,05/03/20 11:56:08,1,A déconseiller j’ai fais l’erreur de passer de ooredoo a djezzy vu qu’il offre plus de forfait internet mais a l’utilisation j’étais choqué de leur connexion et de 20 h à minuit c’est catastrophique même pas utilisable sachant que j’habite alger centre ils sont en retard des années je vous déconseille de faire la même erreur et je vous conseille aussi de les quitter car c’est des voleurs vu que j’ai arrêté l’utilisation de la puce dès le premier moi eux ils continuent de comptabiliser les mois et jusqu’à aujourd’hui ils m’appellent sur mon numéro ooredoo pour me dire que je dois venir payer mes factures alors que ça fait des mois que je n’ai pas utilisé la puce et que le jour meme j’ai demandé à propos de cet merde et le monsieur m’a dit que si j’arrête l’utilisation de la puce ils arrêteront de comptabiliser,-1,insta
t_music_dz,05/03/20 14:43:19,0,I am translating the songs and I need followers so if follow me if you want  دوخة  دوخة,0,insta
